Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GrudevHristo	Grudev, Hristo Grudev	M	1960	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GrudevHristo	Grudev, Hristo Grudev	M	1960	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GrudevHristo	Grudev, Hristo Grudev	M	1960	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u7	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u8	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GrudevHristo	Grudev, Hristo Grudev	M	1960	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u9	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	HristovEmil	Hristov, Emil Marinov	M	1957	
ParlaMint-BG-en_2019-10-03	ParlaMint-BG_2019-10-03.u10	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 8, Meeting 304 (2019-10-03)	2019-10-03	Unicameralism	Четиридесет и четвърто народно събрание	8 парламентарна сесия	304 пленарно заседание	2019-10-03	-	Reference	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GrudevHristo	Grudev, Hristo Grudev	M	1960	
