Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	CorinneEllemeet	Ellemeet, Corinne	F	1976	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2017-07-06-tweedekamer-3	ParlaMint-NL_2017-07-06-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 97, Session 3 (2017-07-06)	2017-07-06	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 97	Sitting 2017-07-06	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
