Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-26-tweedekamer-5	ParlaMint-NL_2017-09-26-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2017-09-26)	2017-09-26	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 4	Sitting 2017-09-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
