Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TomvanderLee	van der Lee, Tom	M	1964	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	DENK	DENK	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AukjedeVries	de Vries, Aukje	F	1964	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	LammertvanRaan	van Raan, Lammert	M	1962	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Coalition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2017-03-29-tweedekamer-5	ParlaMint-NL_2017-03-29-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 61, Session 5 (2017-03-29)	2017-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 61	Sitting 2017-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
