Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u11	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u12	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-02-14-tweedekamer-35	ParlaMint-NL_2017-02-14-tweedekamer-35.u13	Report of the meeting of the Dutch Lower House, Meeting 52, Session 35 (2017-02-14)	2017-02-14	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 52	Sitting 2017-02-14	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
