Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	DavidKasal.1969	Kasal, David	M	1969	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2015-06-19-ps2013-029-04-005-112	ParlaMint-CZ_2015-06-19-ps2013-029-04-005-112.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-06-19	2015-06-19	Lower house	ps2013	-	ps2013/029	ps2013/029/04	ps2013/029/112	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
