Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Guest	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	BohuslavSobotka.1971	Sobotka, Bohuslav	M	1971	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-21-ps2013-033-06-002-001	ParlaMint-CZ_2015-10-21-ps2013-033-06-002-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-21	2015-10-21	Lower house	ps2013	-	ps2013/033	ps2013/033/06	ps2013/033/001	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
