Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavFaltynek.1962	Faltýnek, Jaroslav	M	1962	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-03-31-ps2013-026-04-000-000	ParlaMint-CZ_2015-03-31-ps2013-026-04-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-03-31	2015-03-31	Lower house	ps2013	-	ps2013/026	ps2013/026/04	ps2013/026/000	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
