Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	-	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	PS	Positive Slovenia	-	Centre to centre-left	JankovićZoran	Janković, Zoran	M	1953	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	-	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	TankoJože	Tanko, Jože	M	1956	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	-	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	-	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DLGV	Gregor Virant's Civic List	-	Right	BraniseljRihard	Braniselj, Rihard	M	1966	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	-	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-01-11-SDZ6-Izredna-02	ParlaMint-SI_2012-01-11-SDZ6-Izredna-02.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 2, (11. 01. 2012)	2012-01-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Opposition	Centre to centre-left	ErjavecKarlViktor	Erjavec, Karl Viktor	M	1960	
