Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	JerajAlenka	Jeraj, Alenka	F	1973	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	JenkoJana	Jenko, Jana	F	1964	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SLS	Slovenian People's Party	Coalition	Centre-right	PresečnikJakob	Presečnik, Jakob	M	1948	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Coalition	Centre-right	ToninMatej	Tonin, Matej	M	1983	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	PS	Positive Slovenia	Opposition	Centre to centre-left	JakičRoman	Jakič, Roman	M	1967	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	JerajAlenka	Jeraj, Alenka	F	1973	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SD	Social Democrats	Opposition	Centre-left	ČrnakMegličAndreja	Črnak Meglič, Andreja	F	1955	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	KomarPolonca	Komar, Polonca	F	1967	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DLGV	Gregor Virant's Civic List	Coalition	Right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-02-10-SDZ6-Izredna-07	ParlaMint-SI_2012-02-10-SDZ6-Izredna-07.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 7, (10. 02. 2012)	2012-02-10	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SD	Social Democrats	Opposition	Centre-left	PotrataMajda	Potrata, Majda	F	1948	
