Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	DetiègeMaya	Detiège, Maya	F	1967	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	DetiègeMaya	Detiège, Maya	F	1967	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2017-03-21-54-commissie-ic626x	ParlaMint-BE_2017-03-21-54-commissie-ic626x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2017	2017-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
