Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2017-04-18-54-commissie-ic637x	ParlaMint-BE_2017-04-18-54-commissie-ic637x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-04-2017	2017-04-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
