Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101020	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101021	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101049	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101120	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101145	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101223	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101334	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101346	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101421	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-04-27-20161-M88	ParlaMint-DK_20170427101434	Hansard of the session of the Danish Parliament (Folketinget), 20161, M88 (2017-04-27), final version	2017-04-27	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M88	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
