Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	SantangeloVincenzo	Santangelo, Vincenzo	M	1972	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	SantangeloVincenzo	Santangelo, Vincenzo	M	1972	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	PizzettiLuciano	Pizzetti, Luciano	M	1959	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	AL-A	Alleanza Liberalpopolare-Autonomie	-	Centre	FalangaCiro	Falanga, Ciro	M	1951	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	AL-A	Alleanza Liberalpopolare-Autonomie	-	Centre	FalangaCiro	Falanga, Ciro	M	1951	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Centre-right	DAliAntonio	D'Ali', Antonio	M	1951	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Centre-right	DAliAntonio	D'Ali', Antonio	M	1951	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2015-10-07-LEG17-Senato-sed-519	ParlaMint-IT_2015-10-07-LEG17-Senato-sed-519.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 519, Day (2015-10-07)	2015-10-07	Upper house	17 Legislatura	-	-	519 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	OrellanaLuisAlberto	Orellana, Luis Alberto	M	1961	
