Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2020-12-03-PT13-2165	ParlaMint-LV_2020-12-03-PT13-2165-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
