Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u1	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u2	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u3	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Regular	MP	notMinister	BNG	Galician Nationalist Bloc	Opposition	Left	PresasNoa	Presas Bergantiños, Noa	F	1987	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u4	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u5	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u6	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Regular	MP	notMinister	PSdeG-PSOE	Socialists' Party of Galicia	Opposition	Centre-left	RodríguezMatildeBegoña	Rodríguez Rumbo, Matilde Begoña	F	1966	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u7	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u8	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Regular	MP	notMinister	PSdeG-PSOE	Socialists' Party of Galicia	Opposition	Centre-left	RodríguezMatildeBegoña	Rodríguez Rumbo, Matilde Begoña	F	1966	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u9	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2021-01-26-DSPG020	ParlaMint-ES-GA_2021-01-26-DSPG020.u10	Minutes of the Assembly of the Galician Parliament	2021-01-26	Unicameralism	XI Lexislatura	-	Número 020	26.01.2021	-	COVID	English	Regular	MP	notMinister	PSdeG-PSOE	Socialists' Party of Galicia	Opposition	Centre-left	RodríguezMatildeBegoña	Rodríguez Rumbo, Matilde Begoña	F	1966	
