Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ_ΧΡΗΣΤΟΥ_ΔΗΜΗΤΡΙΟΣ	Kōnstantopoylos, Dīmītrios	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ_ΙΩΑΝΝΗ_ΝΙΚΟΛΑΟΣ	Panagiōtopoylos, Nikolaos	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ_ΧΡΗΣΤΟΥ_ΔΗΜΗΤΡΙΟΣ	Kōnstantopoylos, Dīmītrios	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-05-12-S1-commons	ParlaMint-GR_2021-05-12-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 121, 2021-05-12	2021-05-12	Unicameralism	18	2	-	121	-	COVID	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ_ΙΩΑΝΝΗ_ΝΙΚΟΛΑΟΣ	Panagiōtopoylos, Nikolaos	M	-	
