Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Regular	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΒΙΛΙΑΡΔΟΣ_ΔΙΟΝΥΣΙΟΥ_ΒΑΣΙΛΕΙΟΣ	Viliardos, Vasileios	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Regular	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΒΙΛΙΑΡΔΟΣ_ΔΙΟΝΥΣΙΟΥ_ΒΑΣΙΛΕΙΟΣ	Viliardos, Vasileios	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΚΑΡΑΘΑΝΑΣΟΠΟΥΛΟΣ_ΠΕΤΡΟΥ_ΝΙΚΟΛΑΟΣ	Karathanasopoylos, Nikolaos	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΑΡΒΑΝΙΤΙΔΗΣ_ΠΕΤΡΟΥ_ΓΕΩΡΓΙΟΣ	Arvanitidīs, Geōrgios	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2021-01-26-S1-commons	ParlaMint-GR_2021-01-26-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 69, 2021-01-26	2021-01-26	Unicameralism	18	2	-	69	-	COVID	English	Regular	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΑΡΣΕΝΗΣ_ΔΗΜΟΚΡΑΤΗ_ΚΡΙΤΩΝ-ΗΛΙΑΣ	Arsenīs, Kritōn Īlias	M	-	
