Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	VolpiRaffaele	Volpi, Raffaele	M	1960	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	VolpiRaffaele	Volpi, Raffaele	M	1960	
ParlaMint-IT-en_2013-07-02-LEG17-Senato-sed-54	ParlaMint-IT_2013-07-02-LEG17-Senato-sed-54.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 54, Day (2013-07-02)	2013-07-02	Upper house	17 Legislatura	-	-	54 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
