Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	BitonciMassimo	Bitonci, Massimo	M	1965	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	BitonciMassimo	Bitonci, Massimo	M	1965	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2013-07-23-LEG17-Senato-sed-75	ParlaMint-IT_2013-07-23-LEG17-Senato-sed-75.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 75, Day (2013-07-23)	2013-07-23	Upper house	17 Legislatura	-	-	75 Seduta	-	Reference	English	Chairperson	MP	notMinister	SCpI	Scelta Civica per l'Italia	Coalition	Centre	LanzillottaLinda	Lanzillotta, Linda	F	1948	
