Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	OttarrProppe	Proppé, Óttarr	M	1968	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	GudlaugurTHordarson	Þórðarson, Guðlaugur Þór	M	1967	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	BenediktJohannesson	Jóhannesson, Benedikt	M	1955	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2016-12-22-11	ParlaMint-IS_2016-12-22-11.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-11, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
