Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BjortOlafsdottir	Ólafsdóttir, Björt	F	1983	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-12-07-2	ParlaMint-IS_2016-12-07-2.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-2, 07.12.2016.	2016-12-07	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
