Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	JiriDolejs.1961	Dolejš, Jiří	M	1961	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-14-ps2013-006-08-013-081	ParlaMint-CZ_2014-02-14-ps2013-006-08-013-081.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-14	2014-02-14	Lower house	ps2013	-	ps2013/006	ps2013/006/08	ps2013/006/081	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
