Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u11	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u12	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u13	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-06-10-ps2013-010-01-006-024	ParlaMint-CZ_2014-06-10-ps2013-010-01-006-024.u14	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-10	2014-06-10	Lower house	ps2013	-	ps2013/010	ps2013/010/01	ps2013/010/024	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
