Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Guest	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	BohuslavSobotka.1971	Sobotka, Bohuslav	M	1971	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Regular	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanMladek.1960	Mládek, Jan	M	1960	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-02-04-ps2013-006-01-000-999	ParlaMint-CZ_2014-02-04-ps2013-006-01-000-999.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-02-04	2014-02-04	Lower house	ps2013	-	ps2013/006	ps2013/006/01	ps2013/006/999	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
