Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	KarelRais.1949	Rais, Karel	M	1949	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2014-09-17-ps2013-017-02-002-006	ParlaMint-CZ_2014-09-17-ps2013-017-02-002-006.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-09-17	2014-09-17	Lower house	ps2013	-	ps2013/017	ps2013/017/02	ps2013/017/006	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
