Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Regular	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanMladek.1960	Mládek, Jan	M	1960	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	MilanUrban.1958	Urban, Milan	M	1958	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Regular	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanMladek.1960	Mládek, Jan	M	1960	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MichalKucera.1968	Kučera, Michal	M	1968	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-12-11-ps2013-023-07-004-017	ParlaMint-CZ_2014-12-11-ps2013-023-07-004-017.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-12-11	2014-12-11	Lower house	ps2013	-	ps2013/023	ps2013/023/07	ps2013/023/017	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MichalKucera.1968	Kučera, Michal	M	1968	
