Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RiekstiņšSandis	Riekstiņš, Sandis	M	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RiekstiņšSandis	Riekstiņš, Sandis	M	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RiekstiņšSandis	Riekstiņš, Sandis	M	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RiekstiņšSandis	Riekstiņš, Sandis	M	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-07-PT13-2229	ParlaMint-LV_2021-04-07-PT13-2229-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-07	2021-04-07	Unicameralism	13. sasaukums	-	Regulārā	2021-04-07	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RiekstiņšSandis	Riekstiņš, Sandis	M	-	
