Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	JalinskaJanīna	Jalinska, Janīna	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	PapuleEvija	Papule, Evija	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U12	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U13	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-03-11-PT13-2211	ParlaMint-LV_2021-03-11-PT13-2211-U14	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-03-11	2021-03-11	Unicameralism	13. sasaukums	-	Regulārā	2021-03-11	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
