Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U1	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U2	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U3	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U4	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U5	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U6	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U7	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U8	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U9	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U10	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U11	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U12	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U13	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U14	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2018-10-10	ParlaMint-EE_2018-10-10_U15	XIII Parliament term, VIII Session, information session Wensday, 10.10.2018, 13:00	2018-10-10	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-10	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
