Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U1	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U2	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U3	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U4	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U5	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U6	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U7	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	m_ainsaar_00000000	Ainsaar, M	U	-	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U8	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U9	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-12-19	ParlaMint-EE_2013-12-19_U10	XII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 19.12.2013, 10:00	2013-12-19	Unicameralism	XII Riigikogu	VI regular session	-	2013-12-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
