Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U1	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U2	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U3	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	u_vaarmann_19770106	Vaarmann, Urbo	M	1977	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U4	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U5	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U6	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U7	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U8	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	p_toobal_19831101	Toobal, Priit	M	1983	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U9	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-11-04	ParlaMint-EE_2013-11-04_U10	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 04.11.2013, 15:00	2013-11-04	Unicameralism	XII Riigikogu	VI regular session	-	2013-11-04	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
