Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U1	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U2	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U3	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U4	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U5	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_riisalu_19610313	Riisalu, Aivar	M	1961	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U6	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U7	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Regular	notMP	Minister	-	-	-	-	j_aaviksoo_19540111	Aaviksoo, Jaak	M	1954	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U8	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U9	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_riisalu_19610313	Riisalu, Aivar	M	1961	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U10	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Regular	notMP	Minister	-	-	-	-	j_aaviksoo_19540111	Aaviksoo, Jaak	M	1954	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U11	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U12	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_kallo_19481206	Kallo, Kalev	M	1948	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U13	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Regular	notMP	Minister	-	-	-	-	j_aaviksoo_19540111	Aaviksoo, Jaak	M	1954	
ParlaMint-EE-en_2013-06-10	ParlaMint-EE_2013-06-10_U14	XII Parliament term, V Session, Plenary Assembly regular meeting on Monday, 10.06.2013, 15:00	2013-06-10	Unicameralism	XII Riigikogu	V regular session	-	2013-06-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
