Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Regular	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	СергійМиколайовичТерещук.1961	Tereščuk, Serhij Mykolajovyč	M	1961	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	-	Big tent	АндрійАнатолійовичКожемякін.1965	Kožem’jakin, Andrij Anatolijovyč	M	1965	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	-	Far-left	ПетроМиколайовичСимоненко.1952	Symonenko, Petro Mykolajovyč	M	1952	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	-	Far-left	ПетроМиколайовичСимоненко.1952	Symonenko, Petro Mykolajovyč	M	1952	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2008-12-16-m0	ParlaMint-UA_2008-12-16-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-12-16, n0	2008-12-16	Unicameralism	6	3	-	2008-12-16	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	ЮрійАнатолійовичКармазін.1957	Karmazin, Jurij Anatolijovyč	M	1957	
