Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ВолодимирМиколайовичШандра.1963	Šandra, Volodymyr Mykolajovyč	M	1963	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	АнатолійІвановичСеминога.1960	Semynoha, Anatolij Ivanovyč	M	1960	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	ВячеславАнатолійовичКириленко.1968	Kyrylenko, V’jačeslav Anatolijovyč	M	1968	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Regular	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-07-31-m0	ParlaMint-UA_2008-07-31-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 2, sitting day 2008-07-31, n0	2008-07-31	Unicameralism	6	2	-	2008-07-31	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	Opposition	Far-left	ПетроМиколайовичСимоненко.1952	Symonenko, Petro Mykolajovyč	M	1952	
