Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	KlampferKsenija	Klampfer, Ksenija	F	1976	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Coalition	Centre-left	StarovićVojko	Starović, Vojko	M	1952	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	MesecLuka	Mesec, Luka	M	1987	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	LepŠimenkoSuzana	Lep Šimenko, Suzana	F	1979	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LMŠ	The List of Marjan Šarec	Coalition	Centre to centre-left	HeferleTina	Heferle, Tina	F	1986	
ParlaMint-SI-en_2019-11-29-SDZ8-Izredna-29	ParlaMint-SI_2019-11-29-SDZ8-Izredna-29.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 29, (29. 11. 2019)	2019-11-29	Lower house	8. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	SlugaJanja	Sluga, Janja	F	1974	
