Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	MichaelRataj.1969	Rataj, Michael	M	1969	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	MartinExner.1963	Exner, Martin	M	1963	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-05-18-ps2021-065-03-011-007	ParlaMint-CZ_2023-05-18-ps2021-065-03-011-007.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-18	2023-05-18	Lower house	ps2021	-	ps2021/065	ps2021/065/03	ps2021/065/007	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
