Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-000-000	ParlaMint-CZ_2023-02-07-ps2021-052-01-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/000	COVID,War	English	Guest	MP	Minister	TOP09	Political group TOP 09	Coalition	Centre-right	VlastimilValek.1960	Válek, Vlastimil	M	1960	
