Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u1	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u2	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u3	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Regular	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	VarelaDanielLuis	Varela Suanzes-Carpegna, Daniel Luis	M	1951	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u4	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u5	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Regular	MP	notMinister	BNG	Galician Nationalist Bloc	Opposition	Left	PresasNoa	Presas Bergantiños, Noa	F	1987	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u6	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u7	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Regular	MP	notMinister	BNG	Galician Nationalist Bloc	Opposition	Left	PresasNoa	Presas Bergantiños, Noa	F	1987	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u8	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u9	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Regular	MP	notMinister	PSdeG-PSOE	Socialists' Party of Galicia	Opposition	Centre-left	RodríguezMatildeBegoña	Rodríguez Rumbo, Matilde Begoña	F	1966	
ParlaMint-ES-GA-en_2019-04-26-DSPG107	ParlaMint-ES-GA_2019-04-26-DSPG107.u10	Minutes of the Assembly of the Galician Parliament	2019-04-26	Unicameralism	X Lexislatura	-	Número 107	26.04.2019	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	SantalicesMiguelÁngel	Santalices Vieira, Miguel Ángel	M	1955	
