Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	AnseeuwBjörn	Anseeuw, Björn	M	1976	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VerreytHans	Verreyt, Hans	M	1980	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DermagnePierreYves	Dermagne, Pierre-Yves	M	1980	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	AnseeuwBjörn	Anseeuw, Björn	M	1976	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
ParlaMint-BE-en_2021-06-22-definitief-55-commissie-ic522x	ParlaMint-BE_2021-06-22-definitief-55-commissie-ic522x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 22-06-2021	2021-06-22	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
