Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	TroostersFrank	Troosters, Frank	M	1970	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	HanusMélissa	Hanus, Mélissa	F	1992	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	ArensJosy	Arens, Josy	M	1952	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DeSpiegeleerPieter	De Spiegeleer, Pieter	M	1981	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2021-03-17-definitief-55-commissie-ic416x	ParlaMint-BE_2021-03-17-definitief-55-commissie-ic416x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-03-2021	2021-03-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	HanusMélissa	Hanus, Mélissa	F	1992	
