Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U1	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U2	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_talvik_19640613	Talvik, Artur	M	1964	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U3	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U4	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U5	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_savisaar_19780616	Savisaar, Erki	M	1978	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U6	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U7	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U8	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_savisaar_19780616	Savisaar, Erki	M	1978	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U9	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-11-21	ParlaMint-EE_2017-11-21_U10	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Tuesday, 21.11.2017, 10:00	2017-11-21	Unicameralism	XIII Riigikogu	VI regular session	-	2017-11-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	p_ernits_19530611	Ernits, Peeter	M	1953	
