Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TofThissen	Thissen, Tof	M	1957	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TofThissen	Thissen, Tof	M	1957	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	ThomdeGraaf	de Graaf, Thom	M	1957	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	ThomdeGraaf	de Graaf, Thom	M	1957	
ParlaMint-NL-en_2014-12-16-eerstekamer-3	ParlaMint-NL_2014-12-16-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
