Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Chairperson	MP	notMinister	frSPU	Socialist Party Faction	Coalition	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Opposition	Big tent	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Chairperson	MP	notMinister	frSPU	Socialist Party Faction	Coalition	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Chairperson	MP	notMinister	frSPU	Socialist Party Faction	Coalition	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Opposition	Big tent	ЮліяВолодимирівнаТимошенко.1960	Tymošenko, Julija Volodymyrivna	F	1960	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Chairperson	MP	notMinister	frSPU	Socialist Party Faction	Coalition	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Regular	MP	notMinister	frNU06	Our Ukraine Bloc 2006 Faction	Opposition	Centre-right	РоманПетровичБезсмертний.1965	Bezsmertnyj, Roman Petrovyč	M	1965	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Chairperson	MP	notMinister	frSPU	Socialist Party Faction	Coalition	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Regular	MP	notMinister	frNU06	Our Ukraine Bloc 2006 Faction	Opposition	Centre-right	РоманПетровичБезсмертний.1965	Bezsmertnyj, Roman Petrovyč	M	1965	
ParlaMint-UA-en_2006-07-07-m0	ParlaMint-UA_2006-07-07-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-07-07, n0	2006-07-07	Unicameralism	5	1	-	2006-07-07	-	Reference	English	Chairperson	MP	notMinister	frSPU	Socialist Party Faction	Coalition	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
