Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2015-01-21-tweedekamer-6	ParlaMint-NL_2015-01-21-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 44, Session 6 (2015-01-21)	2015-01-21	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 44	Sitting 2015-01-21	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
