Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	YaseminÇegerek	Çegerek, Yasemin	F	1977	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2015-05-27-tweedekamer-5	ParlaMint-NL_2015-05-27-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 88, Session 5 (2015-05-27)	2015-05-27	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 88	Sitting 2015-05-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
