Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MachieldeGraaf	de Graaf, Machiel	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnneMulder	Mulder, Anne	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u23	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	JudithSwinkels	Swinkels, Judith	F	1961	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u24	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u25	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u26	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u27	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u28	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u29	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u30	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u31	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u32	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u33	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AhmedMarcouch	Marcouch, Ahmed	M	1969	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u34	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u35	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u36	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u37	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-11-04-tweedekamer-5	ParlaMint-NL_2015-11-04-tweedekamer-5.u38	Report of the meeting of the Dutch Lower House, Meeting 20, Session 5 (2015-11-04)	2015-11-04	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 20	Sitting 2015-11-04	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
