Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-04-09-tweedekamer-7	ParlaMint-NL_2015-04-09-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 74, Session 7 (2015-04-09)	2015-04-09	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 74	Sitting 2015-04-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
