Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	TanjaJadnanansing	Jadnanansing, Tanja	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KarinStraus	Straus, Karin	F	1971	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-06-25-tweedekamer-4	ParlaMint-NL_2015-06-25-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
