Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u1	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u2	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u3	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u4	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u5	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u6	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u7	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u8	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u9	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2015-07-01-tweedekamer-44	ParlaMint-NL_2015-07-01-tweedekamer-44.u10	Report of the meeting of the Dutch Lower House, Meeting 103, Session 44 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 44	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
