Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	MagdaBerndsen	Berndsen, Magda	F	1950	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-04-14-tweedekamer-28	ParlaMint-NL_2015-04-14-tweedekamer-28.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 28 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 28	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
