Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-09-03-tweedekamer-10	ParlaMint-NL_2015-09-03-tweedekamer-10.u11	Report of the meeting of the Dutch Lower House, Meeting 108, Session 10 (2015-09-03)	2015-09-03	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 108	Sitting 2015-09-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
