Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MachieldeGraaf	de Graaf, Machiel	M	1969	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	OtwinvanDijk	van Dijk, Otwin	M	1975	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	OtwinvanDijk	van Dijk, Otwin	M	1975	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-21-tweedekamer-7	ParlaMint-NL_2015-05-21-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 86, Session 7 (2015-05-21)	2015-05-21	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 86	Sitting 2015-05-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	OtwinvanDijk	van Dijk, Otwin	M	1975	
