Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-12-17-tweedekamer-21	ParlaMint-NL_2015-12-17-tweedekamer-21.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 21 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 21	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
