Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u1	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u2	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u3	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u4	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u5	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u6	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u7	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	BramvanOjik	van Ojik, Bram	M	1954	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u8	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u9	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u10	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-29-tweedekamer-11	ParlaMint-NL_2015-04-29-tweedekamer-11.u11	Report of the meeting of the Dutch Lower House, Meeting 82, Session 11 (2015-04-29)	2015-04-29	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 82	Sitting 2015-04-29	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
