Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2015-01-14-tweedekamer-5	ParlaMint-NL_2015-01-14-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 41, Session 5 (2015-01-14)	2015-01-14	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 41	Sitting 2015-01-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
