Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	JuliusTerpstra	Terpstra, Julius	M	1989	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TuurElzinga	Elzinga, Tuur	M	1969	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	JuliusTerpstra	Terpstra, Julius	M	1989	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TuurElzinga	Elzinga, Tuur	M	1969	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TuurElzinga	Elzinga, Tuur	M	1969	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MarijkeVos	Vos, Marijke	F	1957	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u11	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u12	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u13	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u14	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u15	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u16	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MarijkeVos	Vos, Marijke	F	1957	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u17	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u18	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MarijkeVos	Vos, Marijke	F	1957	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u19	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-03-24-eerstekamer-3	ParlaMint-NL_2015-03-24-eerstekamer-3.u20	Report of the meeting of the Dutch Upper House, Meeting 25, Session 3 (2015-03-24)	2015-03-24	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 25	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MarijkeVos	Vos, Marijke	F	1957	
