Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-12-08-tweedekamer-4	ParlaMint-NL_2015-12-08-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 34, Session 4 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
