Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u1	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u2	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u3	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u4	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u5	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u6	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u7	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u8	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u9	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-02-03-tweedekamer-27	ParlaMint-NL_2015-02-03-tweedekamer-27.u10	Report of the meeting of the Dutch Lower House, Meeting 49, Session 27 (2015-02-03)	2015-02-03	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 49	Sitting 2015-02-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
