Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HarryvanBommel	van Bommel, Harry	M	1962	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2015-05-20-tweedekamer-10	ParlaMint-NL_2015-05-20-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 10 (2015-05-20)	2015-05-20	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 85	Sitting 2015-05-20	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
