Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Coalition	Centre	ОлександрАндрійовичКозуб.1956	Kozub, Oleksandr Andrijovyč	M	1956	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Regular	MP	notMinister	frBatkivshchyna	All-Ukrainian Union "Fatherland" Faction	Opposition	Centre	РоманВасильовичСтаднійчук.1980	Stadnijčuk, Roman Vasyl'ovyč	M	1980	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Regular	MP	notMinister	frUDAR	Ukrainian Democratic Alliance for Reform (UDAR) Faction	Opposition	Centre	ВіталійАнатолійовичКовальчук.1969	Koval'čuk, Vitalij Anatolijovyč	M	1969	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Regular	MP	notMinister	frUDAR	Ukrainian Democratic Alliance for Reform (UDAR) Faction	Opposition	Centre	ВіталійВолодимировичКличко.1971	Klyčko, Vitalij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2013-03-19-m0	ParlaMint-UA_2013-03-19-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 2, sitting day 2013-03-19, n0	2013-03-19	Unicameralism	7	2	-	2013-03-19	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Coalition	Centre	ОлександрСергійовичЄфремов.1954	Jefremov, Oleksandr Serhijovyč	M	1954	
