Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-10-04-tweedekamer-3	ParlaMint-NL_2016-10-04-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 7, Session 3 (2016-10-04)	2016-10-04	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 7	Sitting 2016-10-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
