Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u1	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u2	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u3	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u4	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u5	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u6	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u7	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u8	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u9	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2016-11-01-tweedekamer-22	ParlaMint-NL_2016-11-01-tweedekamer-22.u10	Report of the meeting of the Dutch Lower House, Meeting 16, Session 22 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
