Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	JoramvanKlaveren	van Klaveren, Joram	M	1979	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HarryvanBommel	van Bommel, Harry	M	1962	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2016-06-29-tweedekamer-5	ParlaMint-NL_2016-06-29-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
